route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3778_48887,129,3778_6179,The Point,192.MF-BH.93-RED-y11,1,3778_7778148_Txc109524,3778_43
3778_48887,129,3778_6180,Belgard,193.MF-BH.93-RED-y11,1,3778_7778148_Txc109528,3778_40
3778_48887,132,3778_6181,The Point,156.SuBH.93-RED-y11-,1,3778_7778148_Txc109368,3778_56
3778_48887,130,3778_6186,The Point,140.Sat.93-RED-y11-1,1,3778_7778148_Txc109299,3778_51
3778_48887,131,3778_6187,The Point,140.gf.93-RED-y11-16,1,3778_7778148_Txc109301,3778_52
3778_48887,132,3778_6190,Belgard,157.SuBH.93-RED-y11-,1,3778_7778148_Txc109372,3778_40
3778_48887,130,3778_6195,Belgard,141.Sat.93-RED-y11-1,1,3778_7778148_Txc109303,3778_40
3778_48887,131,3778_6196,Belgard,141.gf.93-RED-y11-16,1,3778_7778148_Txc109305,3778_40
3778_48887,129,3778_6199,The Point,194.MF-BH.93-RED-y11,1,3778_7778148_Txc109532,3778_43
3778_48886,130,3778_620,Sandyford,199.Sat.93-GRN-y11-1,0,3778_7778148_Txc105008,3778_4
3778_48887,129,3778_6200,Belgard,195.MF-BH.93-RED-y11,1,3778_7778148_Txc109536,3778_40
3778_48887,130,3778_6201,The Point,142.Sat.93-RED-y11-1,1,3778_7778148_Txc109307,3778_51
3778_48887,131,3778_6202,The Point,142.gf.93-RED-y11-16,1,3778_7778148_Txc109309,3778_52
3778_48887,132,3778_6203,The Point,158.SuBH.93-RED-y11-,1,3778_7778148_Txc109376,3778_56
3778_48886,131,3778_621,Sandyford,199.gf.93-GRN-y11-16,0,3778_7778148_Txc105009,3778_4
3778_48887,130,3778_6210,Belgard,143.Sat.93-RED-y11-1,1,3778_7778148_Txc109311,3778_40
3778_48887,131,3778_6211,Belgard,143.gf.93-RED-y11-16,1,3778_7778148_Txc109313,3778_40
3778_48887,132,3778_6214,Belgard,159.SuBH.93-RED-y11-,1,3778_7778148_Txc109380,3778_40
3778_48887,129,3778_6219,The Point,196.MF-BH.93-RED-y11,1,3778_7778148_Txc109540,3778_43
3778_48887,129,3778_6220,Belgard,197.MF-BH.93-RED-y11,1,3778_7778148_Txc109544,3778_40
3778_48887,130,3778_6221,The Point,144.Sat.93-RED-y11-1,1,3778_7778148_Txc109315,3778_51
3778_48887,131,3778_6222,The Point,144.gf.93-RED-y11-16,1,3778_7778148_Txc109317,3778_52
3778_48887,130,3778_6225,Belgard,145.Sat.93-RED-y11-1,1,3778_7778148_Txc109319,3778_40
3778_48887,131,3778_6226,Belgard,145.gf.93-RED-y11-16,1,3778_7778148_Txc109321,3778_40
3778_48887,132,3778_6227,The Point,160.SuBH.93-RED-y11-,1,3778_7778148_Txc109388,3778_56
3778_48887,129,3778_6234,The Point,198.MF-BH.93-RED-y11,1,3778_7778148_Txc109548,3778_43
3778_48887,132,3778_6235,Belgard,161.SuBH.93-RED-y11-,1,3778_7778148_Txc109392,3778_40
3778_48887,129,3778_6236,Belgard,199.MF-BH.93-RED-y11,1,3778_7778148_Txc109552,3778_40
3778_48887,130,3778_6241,The Point,146.Sat.93-RED-y11-1,1,3778_7778148_Txc109323,3778_51
3778_48887,131,3778_6242,The Point,146.gf.93-RED-y11-16,1,3778_7778148_Txc109325,3778_52
3778_48887,130,3778_6245,Belgard,147.Sat.93-RED-y11-1,1,3778_7778148_Txc109327,3778_40
3778_48887,131,3778_6246,Belgard,147.gf.93-RED-y11-16,1,3778_7778148_Txc109329,3778_40
3778_48887,132,3778_6247,The Point,162.SuBH.93-RED-y11-,1,3778_7778148_Txc109396,3778_56
3778_48887,129,3778_6248,The Point,200.MF-BH.93-RED-y11,1,3778_7778148_Txc109564,3778_43
3778_48886,129,3778_625,Brides Glen,298.MF-BH.93-GRN-y11,0,3778_7778148_Txc105296,3778_1
3778_48887,132,3778_6255,Belgard,163.SuBH.93-RED-y11-,1,3778_7778148_Txc109400,3778_40
3778_48886,130,3778_626,Brides Glen,198.Sat.93-GRN-y11-1,0,3778_7778148_Txc105005,3778_5
3778_48887,129,3778_6260,Belgard,201.MF-BH.93-RED-y11,1,3778_7778148_Txc109568,3778_45
3778_48887,130,3778_6261,The Point,148.Sat.93-RED-y11-1,1,3778_7778148_Txc109331,3778_51
3778_48887,131,3778_6262,The Point,148.gf.93-RED-y11-16,1,3778_7778148_Txc109333,3778_52
3778_48887,129,3778_6263,Belgard,202.MF-BH.93-RED-y11,1,3778_7778148_Txc109572,3778_40
3778_48887,130,3778_6266,Belgard,149.Sat.93-RED-y11-1,1,3778_7778148_Txc109335,3778_40
3778_48887,131,3778_6267,Belgard,149.gf.93-RED-y11-16,1,3778_7778148_Txc109337,3778_40
3778_48886,131,3778_627,Brides Glen,198.gf.93-GRN-y11-16,0,3778_7778148_Txc105006,3778_5
3778_48887,132,3778_6270,The Point,164.SuBH.93-RED-y11-,1,3778_7778148_Txc109404,3778_56
3778_48887,129,3778_6275,The Point,203.MF-BH.93-RED-y11,1,3778_7778148_Txc109576,3778_43
3778_48887,132,3778_6276,Belgard,165.SuBH.93-RED-y11-,1,3778_7778148_Txc109408,3778_40
3778_48887,130,3778_6281,The Point,150.Sat.93-RED-y11-1,1,3778_7778148_Txc109343,3778_51
3778_48887,131,3778_6282,The Point,150.gf.93-RED-y11-16,1,3778_7778148_Txc109345,3778_52
3778_48887,129,3778_6285,Belgard,204.MF-BH.93-RED-y11,1,3778_7778148_Txc109580,3778_40
3778_48887,130,3778_6286,Belgard,151.Sat.93-RED-y11-1,1,3778_7778148_Txc109347,3778_45
3778_48887,131,3778_6287,Belgard,151.gf.93-RED-y11-16,1,3778_7778148_Txc109349,3778_45
3778_48887,130,3778_6290,Belgard,152.Sat.93-RED-y11-1,1,3778_7778148_Txc109351,3778_40
3778_48887,131,3778_6291,Belgard,152.gf.93-RED-y11-16,1,3778_7778148_Txc109353,3778_40
3778_48887,132,3778_6292,The Point,166.SuBH.93-RED-y11-,1,3778_7778148_Txc109412,3778_56
3778_48887,132,3778_6299,Belgard,167.SuBH.93-RED-y11-,1,3778_7778148_Txc109416,3778_40
3778_48887,129,3778_6304,The Point,205.MF-BH.93-RED-y11,1,3778_7778148_Txc109584,3778_43
3778_48887,130,3778_6305,The Point,153.Sat.93-RED-y11-1,1,3778_7778148_Txc109355,3778_51
3778_48887,131,3778_6306,The Point,153.gf.93-RED-y11-16,1,3778_7778148_Txc109357,3778_52
3778_48887,130,3778_6309,Belgard,154.Sat.93-RED-y11-1,1,3778_7778148_Txc109359,3778_40
3778_48886,132,3778_631,Brides Glen,119.SuBH.93-GRN-y11-,0,3778_7778148_Txc104698,3778_1
3778_48887,131,3778_6310,Belgard,154.gf.93-RED-y11-16,1,3778_7778148_Txc109361,3778_40
3778_48887,132,3778_6311,The Point,168.SuBH.93-RED-y11-,1,3778_7778148_Txc109420,3778_56
3778_48887,129,3778_6312,Belgard,206.MF-BH.93-RED-y11,1,3778_7778148_Txc109588,3778_45
3778_48887,129,3778_6319,Belgard,207.MF-BH.93-RED-y11,1,3778_7778148_Txc109592,3778_40
3778_48887,132,3778_6320,Belgard,169.SuBH.93-RED-y11-,1,3778_7778148_Txc109424,3778_40
3778_48887,130,3778_6325,The Point,155.Sat.93-RED-y11-1,1,3778_7778148_Txc109363,3778_51
3778_48887,131,3778_6326,The Point,155.gf.93-RED-y11-16,1,3778_7778148_Txc109365,3778_52
3778_48887,129,3778_6329,The Point,208.MF-BH.93-RED-y11,1,3778_7778148_Txc109596,3778_43
3778_48887,130,3778_6330,Belgard,156.Sat.93-RED-y11-1,1,3778_7778148_Txc109367,3778_40
3778_48887,131,3778_6331,Belgard,156.gf.93-RED-y11-16,1,3778_7778148_Txc109369,3778_40
3778_48887,132,3778_6332,The Point,170.SuBH.93-RED-y11-,1,3778_7778148_Txc109432,3778_56
3778_48887,132,3778_6339,Belgard,171.SuBH.93-RED-y11-,1,3778_7778148_Txc109436,3778_40
3778_48887,129,3778_6340,Belgard,209.MF-BH.93-RED-y11,1,3778_7778148_Txc109600,3778_40
3778_48887,130,3778_6345,The Point,157.Sat.93-RED-y11-1,1,3778_7778148_Txc109371,3778_51
3778_48887,131,3778_6346,The Point,157.gf.93-RED-y11-16,1,3778_7778148_Txc109373,3778_52
3778_48887,130,3778_6349,Belgard,158.Sat.93-RED-y11-1,1,3778_7778148_Txc109375,3778_40
3778_48887,131,3778_6350,Belgard,158.gf.93-RED-y11-16,1,3778_7778148_Txc109377,3778_40
3778_48887,132,3778_6351,The Point,172.SuBH.93-RED-y11-,1,3778_7778148_Txc109440,3778_56
3778_48887,129,3778_6352,The Point,210.MF-BH.93-RED-y11,1,3778_7778148_Txc109608,3778_43
3778_48887,132,3778_6359,Belgard,173.SuBH.93-RED-y11-,1,3778_7778148_Txc109444,3778_40
3778_48886,129,3778_636,Brides Glen,297.MF-BH.93-GRN-y11,0,3778_7778148_Txc105295,3778_5
3778_48887,129,3778_6364,Belgard,211.MF-BH.93-RED-y11,1,3778_7778148_Txc109612,3778_45
3778_48887,130,3778_6365,The Point,159.Sat.93-RED-y11-1,1,3778_7778148_Txc109379,3778_51
3778_48887,131,3778_6366,The Point,159.gf.93-RED-y11-16,1,3778_7778148_Txc109381,3778_52
