service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
129,1,1,1,1,1,0,0,20240304,20241129
130,0,0,0,0,0,1,0,20240309,20241130
131,0,0,0,0,1,0,0,20240308,20241129
132,1,1,1,1,1,0,1,20240304,20241201
